publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
"Mar 30, 2020",The New York Times,Coronavirus Slowdown in Seattle Suggests Restrictions ...,https://www.nytimes.com/2020/03/29/us/seattle-washington-state-coronavirus-transmission-rate.html,Wash.; The United States; Seattle; Washington State; Indiana; Bellevue,hopeful,preventable,,containment; spread,claimed 37 of its first 50 victims,racial minorities; elderly; healthcare access; poverty,absent,"The article suggests that strict containment strategies are responsible for the slowdown, implying that the spread of the virus is preventable with proper measures.",The article treats death as a statistic within the context of modeling and projections.
"Mar 2, 2020",The New York Times,Close to a Million Coronavirus Tests Could Be Ready in ...,https://www.nytimes.com/2020/03/02/us/coronavirus-testing.html,Europe; United States; Japan; Indiana; Washington,neutral,inevitable,Americans; poor nations,threat; bottleneck,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article does not assign direct responsibility for COVID deaths, suggesting the deaths were part of a broader inevitable crisis.","The article treats death as a statistic and a political talking point, focusing on economic impacts and testing capacity."
"Mar 18, 2020",The New York Times,"At the Front Lines of Coronavirus, Turning to Social Media",https://www.nytimes.com/2020/03/18/well/live/coronavirus-doctors-facebook-twitter-social-media-covid.html,Indiana; E.R.; Oregon; New York; Texas,neutral,systemic injustice,emergency room physicians; healthcare workers,front lines,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; long COVID; workplace safety; healthcare access,absent,The article implicitly assigns responsibility to the lack of accessible information and inadequate federal response.,The article treats death as a backdrop to the discussion of information sharing and professional networking.
"Mar 31, 2020",The New York Times,Frightened Doctors Face Off With Hospitals Over Rules ...,https://www.nytimes.com/2020/03/31/health/hospitals-coronavirus-face-masks.html,Indiana; Italy; Spain; Oklahoma; Oregon; New York; China,tragic,systemic injustice,health care professionals; doctors; nurses; administrators,fight; face off,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests systemic failure by highlighting the tension between healthcare providers and administrators, as well as inconsistent guidelines from authorities.",The article implicitly treats death as a backdrop to the conflict over resources and guidelines.
"Mar 28, 2020",The New York Times,"James L. Dolan, the Knicks Owner, Tests Positive for ...",https://www.nytimes.com/2020/03/28/sports/basketball/coronavirus-james-dolan-knicks.html,Indiana; N.B.A.,neutral,other,professional sports franchises,,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; healthcare access,absent,The article does not assign blame or agency; it suggests the testing was part of routine management for sports franchises.,"The article treats testing and illness as part of business operations, implicitly commodifying health management."
"Mar 16, 2020",The New York Times,Could Coronavirus Cause as Many Deaths as Cancer in ...,https://www.nytimes.com/interactive/2020/03/16/upshot/coronavirus-best-worst-death-toll-scenario.html,Germany; Oregon; South Korea; China; Britain; Hubei; The United States; Italy; United States; Indiana,neutral,inevitable,elderly; younger people,flood,,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article does not assign direct responsibility for COVID deaths, suggesting the deaths were largely unavoidable due to the nature of the virus.","The article treats death as a statistic, comparing potential COVID-19 deaths to other causes of death as a way to contextualize the scale."
"Mar 22, 2020",The New York Times,Face Mask Hoarders May Raise Risk of Coronavirus ...,https://www.nytimes.com/2020/01/29/health/coronavirus-masks-hoarding.html,United Kingdom; Scotland; Oregon; China; Ukraine; Wuhan; United States; L.A.; Indiana; The United States; Shanghai; Corona; Maine; Singapore; Chicago; Thailand; New York; Beijing,neutral,political failure,medical workers; Chinese officials; citizens of Wuhan,contagion as a threat; lockdown as a wall; mobilization as a military operation,mysterious virus; pneumonia-like illness,poverty; healthcare access; elder neglect; long COVID,absent,The article assigns responsibility to the Chinese government's authoritarian culture and local officials' fear of reporting bad news.,The article treats death as a statistic and a political talking point.
"Mar 31, 2020",The New York Times,North Korea Claims No Coronavirus Cases. Can It Be ...,https://www.nytimes.com/2020/03/31/world/asia/north-korea-coronavirus.html,North Korea’S; South Korea; China; Pyongyang; Seoul; Indiana; Korea; North Korea,neutral,political failure,North Korean citizens; diplomats,invasion,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests that North Korea's government is responsible for the lack of transparency and potential mismanagement of the COVID-19 situation.,"The article treats the situation as a political talking point, focusing on North Korea's claims and actions rather than on individual or communal experiences of loss."
"Mar 22, 2020",The New York Times,Germany Bans Groups of More Than 2 to Stop Coronavirus ...,https://www.nytimes.com/2020/03/22/world/europe/germany-coronavirus-budget.html,Germany; Indiana,neutral,preventable,families,,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article implies that the government is taking preventive measures to control the situation, suggesting some level of agency in preventing deaths.",The article treats death as a statistic by mentioning the death toll and number of infections without delving into personal stories or impacts.
"Mar 9, 2020",The New York Times,"Coronavirus Death Toll Climbs in China, and a Lockdown ...",https://www.nytimes.com/2020/01/23/world/asia/china-coronavirus.html,Hubei; Wuhan; Hebei Province; Hebei; Indiana; China,neutral,inevitable,elderly,,the victim died; developed chest tightness and difficulty breathing,poverty; healthcare access; systemic healthcare issues; long COVID,absent,"The article does not assign specific blame or agency, suggesting the deaths were part of the outbreak's progression.",The article treats death as a statistic in the context of reporting on the outbreak.
"Mar 31, 2020",The New York Times,Coronavirus May Kill 100000 to 240000 in U.S. Despite ...,https://www.nytimes.com/2020/03/31/us/politics/coronavirus-death-toll-united-states.html,Florida; New Jersey; New York; United States; Indiana; New Orleans; Detroit,tragic,inevitable,Americans; people in New York and New Jersey; Democrats,light at the end of the tunnel; tough two weeks,hard days that lie ahead; grave threat,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests that the deaths are somewhat inevitable but hints at political distraction by mentioning impeachment. Responsibility is not clearly assigned.,The article treats death as a statistic and political talking point.
"Mar 20, 2020",The New York Times,Coronavirus Could Overwhelm U.S. Without Urgent Action ...,https://www.nytimes.com/interactive/2020/03/20/us/coronavirus-model-us-outbreak.html,Wichita; Boston; Seattle; New York’S; Kan.; Oregon; China; California; United States; Knoxville; Illinois; The United States; Indiana; Florida; Tenn.; Sedgwick County; Beverly Salas; Chicago; Kansas City; South Korea; America; New York City; New Rochelle; New York City’S; Northeast; Italy; New York,urgent,preventable,elderly; working-class; small business owners; hospitality workers,catastrophic; sacrifices; insurance for the future,sacrifices we haven’t seen; enormous disruptions,poverty; racism; healthcare access; long COVID,absent,The article suggests that responsibility lies with the lack of urgent action and insufficient control measures.,The article treats death as a statistic and a potential outcome of policy decisions.
"Mar 17, 2020",The New York Times,Drastic 'Shelter in Place' May Be Next for N.Y.C. to Combat ...,https://www.nytimes.com/2020/03/17/nyregion/coronavirus-nyc-shelter-in-place.html,Russia; N’T; Queens; Oregon; China; Delaware; New York State; West Virginia; Indiana; Illinois; The United States; Florida; Arizona; Maine; Atlanta; New York City; Italy; Ohio; New York; Manhattan,serious,inevitable / political failure,senior citizens; people with compromised immune systems; healthcare workers; essential workers,war; enemy; front lines; battle; foxhole,the injured; serious underlying conditions,racial minorities; working-class; poverty; elder neglect; long COVID; workplace safety,absent,"The article suggests the federal government's slow response and lack of preparedness contributed to the situation, but also frames the virus's spread as a natural consequence of New York's density.","Death is treated as a statistic and a political talking point, with a focus on numbers and hospital capacity."
"Mar 23, 2020",The New York Times,Dip in Italy's Cases Does Not Come Fast Enough for ...,https://www.nytimes.com/2020/03/23/world/europe/italy-coronavirus-hospitals.html,Oregon; London; Italy; Madrid; Indiana; Rome,tragic,systemic injustice,elderly; medical professionals,deadly calculus,discharge any patients; if a patient dies in a few days,poverty; racism; healthcare access,absent,The article assigns responsibility to systemic healthcare limitations and resource scarcity.,The article treats death as a statistic and a cost of doing business in the context of resource allocation.
"Mar 5, 2020",The New York Times,'It's a Weird Feeling': Seattle Hunkers Down Amid ...,https://www.nytimes.com/2020/03/05/us/seattle-stays-home.html,North Seattle; The United States; Seattle; Indiana,neutral,inevitable,working-class,ground zero,,elderly; racial minorities; healthcare access; poverty; long COVID,absent,"The article does not assign blame or agency, suggesting the situation is unavoidable.","The article implicitly treats the situation as a new reality or statistic, focusing on economic impacts rather than personal loss."
"Mar 11, 2020",The New York Times,Is the Coronavirus an Epidemic or a Pandemic? It Depends ...,https://www.nytimes.com/2020/02/28/health/coronavirus-pandemic-epidemic.html,Asia; Oregon; China; The Middle East; Europe; Wuhan; Indiana,neutral,inevitable,,,crept up,elderly; racial minorities; working-class; healthcare access; systemic factors,absent,The article does not assign blame or agency; it suggests the spread is a natural progression.,"The article treats the situation as a statistical and definitional issue, focusing on classifications rather than human impact."
,The New York Times · The New York Times,"Video: Low Pay, High Risk: Nursing Home Workers Confront ...",https://www.nytimes.com/video/us/100000007046988/nursing-home-coronavirus.html,Dupage County; Oregon; Northern California; United States; Palo Alto; Indiana; New Orleans; Sacramento County,tragic,systemic injustice,nursing assistants; elderly; working-class; special needs; diabetic; cancer survivors; asthmatics,front line,the virus; exposed,poverty; healthcare access; government responsibility; corporate accountability,communal,"The article implicitly assigns responsibility to systemic issues such as low pay, lack of protective gear, and the necessity for workers to hold multiple jobs, suggesting these deaths are preventable with better systemic support.","The article treats death as a consequence of systemic neglect, highlighting the economic struggles of workers but not reducing death to mere statistics."
"Mar 12, 2020",The New York Times,Sick People Across the U.S. Say They Are Being Denied ...,https://www.nytimes.com/2020/03/12/us/coronavirus-testing-challenges.html,Calif.; Seattle; United States; Maine; Oakland; Indiana,frustrated,systemic injustice,sick people; patients; passengers,gantlet,mild symptoms; flu-like symptoms,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article implicitly assigns responsibility to systemic failures in healthcare and public health policy for the lack of testing.,"The article treats the issue of testing as a bureaucratic problem, with individuals' health concerns sidelined."
"Mar 22, 2020",The New York Times,"In Seattle, It Started With Panic. Then the Deeper Anxiety ...",https://www.nytimes.com/2020/03/22/us/coronavirus-seattle-anxiety-mental-health-stress.html,Costa Rica; Seattle; India; China; Morocco; Indiana; San Juan Island,anxious,inevitable,students; educators; parents,journey; path,unique and rare circumstance in history,elderly; racial minorities; working-class; healthcare access; systemic factors,private,"The article does not assign explicit blame or agency, suggesting the situation is unavoidable.","The article treats the situation as a historical event and a challenge to be managed, focusing on logistical adjustments rather than personal loss."
"Mar 13, 2020",The New York Times,How Coronavirus Hijacks Your Cells,https://www.nytimes.com/interactive/2020/03/11/science/how-coronavirus-hijacks-your-cells.html,Oregon; Indiana,neutral,inevitable,health care workers,hijacking; spreading; bubble; crownlike spikes,leaving the body,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article does not assign responsibility for COVID deaths, suggesting the deaths were a result of the virus's natural process.",The article treats death as a biological process without delving into personal or societal impacts.
"Mar 30, 2020",The New York Times,Opinion | Surviving Coronavirus as a Broke College Student,https://www.nytimes.com/2020/03/30/opinion/coronavirus-economy-graduates.html,Indiana; Athens; Maine; Georgia; Oregon; Ga.,neutral,personal tragedy,college students,,ruined my finances,healthcare access; long COVID; racial minorities; elderly; disabled; working-class; incarcerated people; undocumented immigrants; poverty; racism; workplace safety,absent,The article suggests the financial struggles were due to the unavoidable shutdown of the college town and the transition to online learning.,"The article does not explicitly commodify death, but it treats the impact of the pandemic on education and finances as a significant personal setback."
"Mar 1, 2020",The New York Times,What the Plague Can Teach Us About the Coronavirus,https://www.nytimes.com/2020/03/01/opinion/coronavirus-italy.html,Piedmont; Europe; Italy; Veneto; Indiana; Basilicata; Lombardy,cautionary,historical parallel / systemic injustice,regional governments; marginalized people; Jews; Asians,warning; strain; exacerbation,,poverty; healthcare access; elder neglect; long COVID; workplace safety,absent,"The article suggests that regionalism and historical scapegoating are responsible for social tensions and discrimination, but does not directly assign blame for COVID deaths.","The article treats death as a historical and social phenomenon, focusing on societal reactions rather than individual losses."
"Mar 17, 2020",The New York Times,Opinion | The Coronavirus Preys on Jews' Biggest Strength,https://www.nytimes.com/2020/03/17/opinion/great-neck-coronavirus.html,Long Island; Indiana,tragic,preventable,Jews; millennials; boomers,preys; chasm; runs headlong,passing through; pop by for a bit,poverty; racism; healthcare access; long COVID; workplace safety,communal,"The article implies that the deaths are preventable and suggests a generational divide in understanding the seriousness of the pandemic, indirectly assigning blame to older generations for not taking precautions.","The article does not explicitly commodify death, but it does highlight the tension between personal and communal responsibilities in preventing further deaths."
"Mar 27, 2020",The New York Times,How to Flatten the Curve on Coronavirus,https://www.nytimes.com/article/flatten-curve-coronavirus.html,Philadelphia; Indiana; Eugene; Ore.,neutral,preventable,healthcare system; public health community,curve; surge; flow,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; long COVID; workplace safety; healthcare access,absent,The article suggests that the deaths are preventable through public health measures and managing healthcare capacity.,Death is implicitly treated as a statistic to be managed through public health strategies.
,The New York Times · The New York Times,Video: Sick Politicians and a Lack of Urgency: Tracking Iran's ...,https://www.nytimes.com/video/world/middleeast/100000007011860/iran-coronavirus-outbreak.html,Iran; Indiana; Oregon; Qom; Qeshm; China,tragic,political failure,politicians; clerics; lawmakers; health officials; public,epicenter; mismanagement on international display,serious missteps; turned their country into an epicenter,poverty; healthcare access; elderly; racial minorities; working-class; long COVID,absent,The article assigns responsibility to Iranian officials for mismanagement and lack of urgency.,The article treats death as a political talking point by focusing on the missteps and public appearances of officials.
,The New York Times · The New York Times,Video: Opinion | People Around the World Are Panic-Buying ...,https://www.nytimes.com/video/opinion/100000007029344/why-toilet-paper-coronavirus.html,Australia; Ireland; United Kingdom; United States; Taiwan; Indiana,other,other,people on lower incomes,pandemic panic-buying; spread like; ultimate quarantine essential,soil your pants,COVID-19 deaths; healthcare access; elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants,absent,The article suggests that panic-buying is a result of consumer behavior and implies a lack of awareness about the impact on others.,The article does not directly address death; it focuses on consumer behavior and the implications of panic-buying.
"Mar 25, 2020",The New York Times,Coronavirus Decimates N.Y.C. Taxi Industry: 'The Worst It's ...,https://www.nytimes.com/2020/03/25/nyregion/coronavirus-nyc-taxi-drivers.html,Oregon; Indiana; New York City’S,tragic,systemic injustice,working-class; taxi drivers,decimates,,healthcare access; long COVID; racial minorities; elderly; undocumented immigrants,absent,The article implicitly assigns responsibility to the city's taxi commission and the financial system for the economic hardships faced by taxi drivers.,"The article treats the economic impact on the taxi industry as a significant consequence, potentially overshadowing the human cost of the pandemic."
"Mar 11, 2020",The New York Times,Italy Announces Restrictions Over Entire Country in Attempt ...,https://www.nytimes.com/2020/03/09/world/europe/italy-lockdown-coronavirus.html,Italy; Alps; Indiana; Rome; China,tragic,inevitable,elderly; sick people,sacrifice; clampdown,,poverty; healthcare access; long COVID; workplace safety,absent,The article suggests the deaths were unavoidable due to the rapid spread of the virus.,"The article treats death as a statistic, focusing on numbers and increases in cases and deaths."
"Mar 12, 2020",The New York Times,Climate Change Has Lessons for Fighting the Coronavirus,https://www.nytimes.com/2020/03/12/climate/climate-change-coronavirus-lessons.html,Australia; Europe; Indiana,neutral,inevitable,,cautionary tale; bend the curve; race upward,minimize loss; what we gambled on; what we lost,poverty; racism; healthcare access; elder neglect; long COVID; workplace safety,absent,"The article suggests a lack of early aggressive action as a factor, implying some level of responsibility on global leaders.","The article treats death as a statistic or consequence of inaction, similar to climate change impacts."
"Mar 26, 2020",The New York Times,One in Five Americans Ordered to Stay Home ...,https://www.nytimes.com/2020/03/20/us/ny-ca-stay-home-order.html,New York City; N’T; New York State; Oregon; Indiana; Mich,tragic,preventable,elderly; working-class; restaurant industry workers; Broadway workers; unemployed; community kitchen patrons,uncharted territory; go time; ramp up; smiling through stress,people are coming to us feeling vulnerable; people are rolling in the worst,racial minorities; disabled; incarcerated people; undocumented immigrants; healthcare access,communal,The article suggests that the situation could have been prevented with earlier action and better resource management.,The article treats death as a looming statistic and a potential strain on resources.
"Mar 10, 2020",The New York Times,"Coronavirus, Italy, Bernie Sanders: Your Tuesday Briefing",https://www.nytimes.com/2020/03/10/briefing/coronavirus-italy-bernie-sanders.html,China; Milan; Coronavirus; Italy; Briefing; Wuhan; Indiana,neutral,inevitable,Italian population; Chinese government,protected zone; national emergency,,poverty; healthcare access; elderly; racial minorities; working-class; long COVID,absent,The article does not assign direct blame; it suggests the situation is being managed by authorities with restrictions.,"The article treats death as a statistic, focusing on numbers and updates."
"Mar 9, 2020",The New York Times,Toll From Outbreak Climbs in China as Infections Reach ...,https://www.nytimes.com/2020/01/24/world/asia/china-coronavirus.html,Indiana; Wuhan; Oregon; Outbreak Climbs; Weibo; China,tragic,systemic injustice,Wuhan residents; elderly; families,kicking a ball,,poverty; healthcare access; government responsibility; long COVID,private,"The article implicitly suggests systemic failure due to lack of hospital beds and resources, but does not explicitly assign blame.",The article treats the situation as a tragic human interest story rather than reducing it to statistics.
"Mar 1, 2020",The New York Times,Avoiding Coronavirus May Be a Luxury Some Workers Can ...,https://www.nytimes.com/2020/03/01/upshot/coronavirus-sick-days-service-workers.html,Oregon; The United States; Connecticut; Indiana,tragic,systemic injustice,working-class; service industry workers; low-income workers; high-earning professionals,circulate; hit harder,,poverty; healthcare access; workplace safety; racism,absent,The article suggests systemic factors such as lack of paid sick leave and health insurance are responsible for COVID deaths among low-income workers.,The article implicitly treats death as a consequence of economic disparity and systemic failure.
"Mar 9, 2020",The New York Times,How Prepared Is the U.S. for a Coronavirus Outbreak?,https://www.nytimes.com/2020/02/29/health/coronavirus-preparation-united-states.html,Oregon; The United States; Indiana; United States,neutral,inevitable,critically ill people; doctors,flooded; life-or-death decisions,excruciating life-or-death decisions,poverty; racial minorities; elderly; healthcare access; working-class,absent,The article suggests the potential shortfall of ventilators is a systemic issue but does not assign blame to any specific entity.,The article implicitly treats potential deaths as a logistical problem related to resource allocation.
"Mar 2, 2020",The New York Times,'When Is It Going to End?': Where Coronavirus Has Turned ...,https://www.nytimes.com/2020/03/02/us/coronavirus-washington-state.html,The United States; Seattle; Oregon; Indiana; Washington,neutral,inevitable,health officials; local public health officials; government,outbreak; spread,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests that the spread of COVID-19 is inevitable but emphasizes the need for local public health officials and the government to react quickly and appropriately.,"The article treats death as a statistic, mentioning the number of cases and deaths without delving into personal stories or impacts."
"Mar 18, 2020",The New York Times,Japan Shocks Parents by Moving to Close All Schools ...,https://www.nytimes.com/2020/02/27/world/asia/japan-schools-coronavirus.html,Tokyo; Japan; China,neutral,political failure,parents; students; businesses,drastic step; confronting talk,,elderly; racial minorities; working-class; disabled; healthcare access; long COVID,absent,The article suggests responsibility lies with Prime Minister Shinzo Abe and his administration for initially bungling the response.,"The article implicitly treats the situation as a political talking point, particularly in relation to the potential impact on the Tokyo Olympics and businesses."
"Mar 4, 2020",The New York Times,'When Can We Go to School?' Nearly 300 Million Children ...,https://www.nytimes.com/2020/03/04/world/coronavirus-schools-closed.html,Los Angeles; Indiana; Washington State; Oregon; Hong Kong; The West Coast; Washington; The United States; New York,neutral,inevitable,children; parents; students; educators; economists,tumult; repercussions,,poverty; healthcare access; racial minorities; working-class; long COVID; elder neglect,absent,"The article suggests the school closures are an unavoidable consequence of the pandemic, without assigning specific blame.","The article treats the situation as a statistic and an economic concern, focusing on the disruption to education and economies rather than on individual or communal grief."
"Mar 23, 2020",The New York Times,"As Postal Workers Fall Sick, Colleagues Keep Working. ...",https://www.nytimes.com/2020/03/23/us/coronavirus-post-office-workers.html,Oregon; Indiana; Maine,neutral,systemic injustice,postal workers,fly by the seat of your pants,,elderly; racial minorities; healthcare access; workplace safety regulations,absent,The article suggests a lack of planning and systemic failure by postal management.,"The article implicitly treats the risk of illness and death as a cost of doing business, focusing on operational continuity."
"Mar 15, 2020",The New York Times,'Everything Is a Black Hole': Mounting Dread in the Age of ...,https://www.nytimes.com/2020/03/15/nyregion/coronavirus-anxiety-confusion.html,Italy; Oregon; Indiana; Harlem,tragic,inevitable,elderly; children,black hole; chain reaction,potentially fatal; altered lifestyles,racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,communal,"The article suggests a sense of inevitability and uncertainty, without assigning specific blame or agency.","The article treats death as part of a collective anxiety and uncertainty, rather than as a statistic or political talking point."
"Mar 26, 2020",The New York Times,13 Deaths in a Day: An 'Apocalyptic' Coronavirus Surge at ...,https://www.nytimes.com/2020/03/25/nyregion/nyc-coronavirus-hospitals.html,Connecticut; Oregon; Indiana; China; America,tragic,political failure,young people; doctors; nurses; attending physicians,apocalyptic; scrambling; mythical,store the bodies; patients who are dying,elderly; racial minorities; working-class; long COVID; healthcare access,communal,The article assigns responsibility to leaders and the healthcare system for lack of preparedness and resources.,The article treats death as a consequence of systemic failure and lack of resources.
"Mar 24, 2020",The New York Times,"To Fight the Coronavirus, Cut the Red Tape",https://www.nytimes.com/2020/03/24/business/coronavirus-medical-supplies-regulations.html,The United States; Indiana; Singapore,neutral,preventable,general population,fight,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests that the shortage of tests and bureaucratic hurdles are to blame for the preventable spread of the virus.,"The article treats the response to COVID-19 as a logistical and economic challenge, focusing on patent laws and data privacy rather than individual deaths."
"Mar 25, 2020",The New York Times,U.S. to Suspend Most Travel From Europe; N.B.A. Pauses ...,https://www.nytimes.com/2020/03/11/world/coronavirus-news.html,Germany; Europe; Indiana; United States; Oregon; N.B.A.,neutral,inevitable,Germans; small and midsize enterprises,playing for time; start of a development,people will be infected; fall seriously ill,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests the deaths are unavoidable due to lack of immunity and immunization.,Death is implicitly treated as a statistic in terms of infection rates and health system capacity.
"Mar 20, 2020",The New York Times,What Parents Need to Know About Coronavirus,https://www.nytimes.com/2020/03/17/parenting/coronavirus-children-pregnant-women.html,The United States; Italy; Wuhan; Oregon; Indiana; China; M.D.,neutral,inevitable,elderly; parents; infectious disease experts,tsunami; outbreak picks up steam,,racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests the deaths are somewhat inevitable due to the nature of the virus and its impact on vulnerable populations.,Death is treated as a statistic.
"Mar 20, 2020",The New York Times,"Protests, Coronavirus and a Baby on the Way",https://www.nytimes.com/2020/03/14/parenting/protests-coronavirus-hong-kong.html,Hanoi; Vietnam; Maine; Indiana; Hong Kong,neutral,inevitable,,marching; epic spell; drama,pestilence,elderly; racial minorities; working-class; healthcare access; long COVID,absent,"The article does not assign specific blame or agency, suggesting the events were part of a larger, inevitable narrative.","Death is treated as part of the broader narrative and context, not as a focal point."
"Mar 12, 2020",The New York Times,"U.S. Hospitals Prepare for Coronavirus, With the Worst Still ...",https://www.nytimes.com/2020/03/12/us/hospitals-coronavirus.html,Wash.; Seattle; Everett; Oregon; Chicago; Washington; United States; Indiana,neutral,inevitable,healthcare workers,flood; bow wave; crush,,racial minorities; elderly; working-class; disabled; long COVID; healthcare access,absent,"The article suggests the strain on hospitals is due to the inevitability of the pandemic and systemic unpreparedness, rather than assigning blame to specific entities.","The article implicitly treats the potential deaths as a strain on resources and a challenge to hospital capacity, focusing on logistical issues rather than individual losses."
"Mar 27, 2020",The New York Times,Coronavirus Fact Check: Analyzing the Patterns in Trump's ...,https://www.nytimes.com/2020/03/27/us/politics/trump-coronavirus-factcheck.html,Oregon; South Korea; China; The United States; Italy; Indiana; New York; North Korea,indifferent,political failure,,,,elderly; racial minorities; working-class; disabled; healthcare access; long COVID,absent,"The article implies responsibility lies with political leadership, specifically President Trump, for downplaying the severity and mishandling the response.","The article treats death as a political talking point, focusing on numbers and political statements rather than human impact."
"Mar 9, 2020",The New York Times,C.D.C. Officials Warn of Coronavirus Outbreaks in the U.S.,https://www.nytimes.com/2020/02/25/health/coronavirus-us.html,The United States; India; United States; Japan; Indiana,neutral,inevitable,American public; investors; patients,safety of government bonds; overwhelmed by the coronavirus,getting better,elderly; racial minorities; working-class; healthcare access; long COVID,absent,"The article suggests the situation is under control and does not assign blame, implying the deaths are unavoidable.",The article treats the outbreak as a statistic and a factor affecting the stock market.
"Mar 20, 2020",The New York Times,"In Italy, Coronavirus Takes a Higher Toll on Men",https://www.nytimes.com/2020/03/20/health/coronavirus-italy-men-risk.html,Italy; Oregon; Indiana; China,neutral,biological vulnerability / behavioral factors,men; women; elderly,,,poverty; racism; healthcare access; workplace safety; long COVID,absent,"The article suggests biological and behavioral factors contribute to the higher death toll among men, without assigning blame.",The article treats death as a statistic by focusing on percentages and numbers.
"Mar 20, 2020",The New York Times,When a Pandemic Strikes Americans Who Are Already ...,https://www.nytimes.com/2020/03/20/opinion/coronavirus-poverty-homelessness.html,Calif.; Indiana; Kamran Abri; Oregon; Berkeley,tragic,systemic injustice,homeless; medical students,abandonment,,poverty; healthcare access; government responsibility; mental health,communal,The article implies systemic failure by public systems in supporting the homeless.,The article does not commodify death but highlights the human aspect and systemic neglect.
"Mar 14, 2020",The New York Times,"Headlines from The New York Times for Saturday, March ...",https://www.nytimes.com/issue/todaysheadlines/2020/03/14/todays-headlines,New York; United States,neutral,other,,,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,Does not assign responsibility; suggests deaths are unavoidable,Does not explicitly treat death as a statistic or political talking point
"Mar 20, 2020",The New York Times,"The Coronavirus, by the Numbers",https://www.nytimes.com/2020/03/05/health/coronavirus-deaths-rates.html,The United States; Oregon; Indiana; Ebola; Britain,neutral,inevitable,,flood of numbers,,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article does not assign blame or agency, suggesting the deaths were part of an inevitable process.",The article implicitly treats death as a statistic through the focus on numbers and mathematical modeling.
"Mar 23, 2020",The New York Times,Party Zero: How a Soirée in Connecticut Became a 'Super ...,https://www.nytimes.com/2020/03/23/us/coronavirus-westport-connecticut-party-zero.html,South Africa; Fairfield County; Connecticut; New York City; The United States; Northern Italy; Johannesburg; Westchester County; Indiana; New York,neutral,inevitable,partygoers; businessman; children,super-spreading event,,poverty; racism; healthcare access; elder neglect; long COVID; workplace safety,absent,"The article suggests the spread was due to social gatherings and travel, implying a lack of individual caution but does not assign direct blame.",The article treats the spread of the virus and subsequent deaths as a statistic and a public health challenge.
"Mar 18, 2020",The New York Times,"Opinion | I'm the Mayor of Miami, and I Have the Coronavirus",https://www.nytimes.com/2020/03/18/opinion/francis-suarez-coronavirus.html,Oregon; Miami; Indiana; Maine,neutral,inevitable,city residents; family,paralyzed; wave of anxiety,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,private,The article does not assign blame or agency; it suggests the situation is unavoidable.,"The article treats the situation as a personal challenge and a logistical issue for governance, rather than focusing on death."
"Mar 23, 2020",The New York Times,"As Coronavirus Spreads, How You Can Protect a Family ...",https://www.nytimes.com/2020/03/06/us/nursing-home-coronavirus-deaths.html,Oregon; Indiana,neutral,preventable,elderly,disaster,come down with the virus,poverty; racism; healthcare access; long COVID,private,The article suggests that responsibility lies with family members and facility administrators to prevent and manage infections.,The article treats death as a statistic and a matter of personal responsibility.
